Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,10.90,5.30,8.00,7.88,0.01,0.00,265.45,52.45,0.02,15.00,0.00,1
L,40,10.50,5.30,8.00,7.96,0.01,0.00,264.09,57.40,0.02,15.00,0.00,1
L,40,9.20,5.30,8.00,8.01,0.00,0.00,262.97,63.75,0.02,15.00,0.00,1
L,40,8.00,5.30,8.00,8.04,0.00,0.00,262.25,60.57,0.02,15.00,0.00,1
L,40,7.60,5.30,8.00,7.92,0.00,0.00,265.05,61.16,0.04,15.00,0.00,1
L,40,7.40,5.30,8.00,7.98,0.00,0.00,263.95,71.08,0.04,15.00,0.00,1
L,40,8.40,5.30,8.00,7.97,0.00,0.00,264.25,57.18,0.04,15.00,0.00,1
L,40,7.10,5.30,8.00,8.09,-0.00,0.00,261.36,77.46,0.04,15.00,0.00,1
L,40,6.00,5.30,8.00,8.04,-0.01,0.00,262.22,89.74,0.04,15.00,0.00,1
L,40,6.40,5.30,8.00,8.04,-0.00,0.00,261.91,73.94,0.04,15.00,0.00,1
L,40,8.20,5.30,8.00,8.00,-0.00,0.00,262.87,68.84,0.04,15.00,0.00,1
L,40,6.00,5.30,8.00,8.07,-0.00,0.00,260.95,81.30,0.04,15.00,0.00,1
L,40,4.10,5.30,8.00,7.98,-0.01,0.00,262.82,82.41,0.04,15.00,0.00,1
L,40,5.20,5.30,8.00,8.00,-0.00,0.00,262.38,77.06,0.04,15.00,0.00,1
L,40,3.20,5.30,8.00,8.15,-0.00,0.00,258.48,80.00,0.04,15.00,0.00,1
L,40,4.50,5.30,8.00,7.97,-0.00,0.00,262.30,80.09,0.05,15.00,0.00,1
L,40,2.10,5.30,8.00,7.99,-0.01,0.00,261.96,86.20,0.05,15.00,0.00,1
L,40,4.20,5.30,8.00,8.12,-0.00,0.00,258.70,77.70,0.05,15.00,0.00,1
L,40,5.60,5.30,8.00,8.07,-0.00,0.00,259.22,73.84,0.05,15.00,0.00,1
L,40,4.30,5.30,8.00,7.93,-0.00,0.00,262.58,77.40,0.05,15.00,0.00,1
L,40,2.70,5.30,8.00,7.95,-0.00,0.00,262.42,73.86,0.05,15.00,0.00,1
L,40,4.20,5.30,8.00,7.94,-0.00,0.00,262.92,77.33,0.05,15.00,0.00,1
L,40,4.40,5.30,8.00,7.96,0.00,0.00,262.72,62.31,0.05,15.00,0.00,1
L,40,3.60,5.30,8.00,7.98,0.00,0.00,262.56,67.34,0.05,15.00,0.00,1
L,40,5.80,5.30,8.00,7.93,0.00,0.00,263.82,63.76,0.05,15.00,0.00,1
L,40,3.30,5.30,8.00,8.15,-0.00,0.00,258.61,82.93,0.05,15.00,0.00,1
L,40,5.70,5.30,8.00,8.35,-0.00,0.00,252.57,72.63,0.05,15.00,0.00,1
L,40,4.30,5.30,8.00,7.81,-0.00,0.00,264.48,81.42,0.05,15.00,0.00,1
L,40,5.70,5.30,8.00,7.93,-0.00,0.00,262.52,73.18,0.05,15.00,0.00,1
L,40,5.70,5.30,8.00,8.07,0.00,0.00,259.36,65.29,0.05,15.00,0.00,1
L,40,4.00,5.30,8.00,7.98,0.00,0.00,261.21,71.91,0.05,15.00,0.00,1
L,40,5.30,5.30,8.00,8.03,-0.00,0.00,260.12,75.65,0.05,15.00,0.00,1
L,40,4.90,5.30,8.00,7.98,-0.00,0.00,261.28,78.46,0.05,15.00,0.00,1
L,40,3.40,5.30,8.00,7.97,-0.01,0.00,261.54,92.76,0.05,15.00,0.00,1
L,40,5.60,5.30,8.00,8.11,-0.00,0.00,257.98,84.20,0.05,15.00,0.00,1
L,40,3.30,5.30,8.00,8.07,-0.00,0.00,258.43,86.17,0.05,15.00,0.00,1
L,40,3.90,5.30,8.00,8.00,-0.00,0.00,259.94,78.04,0.05,15.00,0.00,1
L,40,4.20,5.30,8.00,7.96,-0.00,0.00,260.83,80.27,0.05,15.00,0.00,1
L,40,5.30,5.30,8.00,8.53,-0.00,0.00,246.25,87.08,0.05,15.00,0.00,1
L,40,4.10,5.30,8.00,7.71,-0.00,0.00,264.71,73.79,0.05,15.00,0.00,1
L,40,4.60,5.30,8.00,7.91,-0.00,0.00,261.13,82.22,0.05,15.00,0.00,1
L,40,4.10,5.30,8.00,8.07,-0.00,0.00,257.38,79.56,0.05,15.00,0.00,1
L,40,5.00,5.30,8.00,7.94,-0.00,0.00,260.42,90.02,0.05,15.00,0.00,1
L,40,3.00,5.30,8.00,7.88,-0.00,0.00,262.34,81.53,0.05,15.00,0.00,1
L,40,3.20,5.30,8.00,7.82,-0.00,0.00,264.62,87.20,0.05,15.00,0.00,1
L,40,3.50,5.30,8.00,7.85,-0.00,0.00,264.88,82.22,0.05,15.00,0.00,1
L,40,2.60,5.30,8.00,7.96,-0.00,0.00,262.90,79.36,0.05,15.00,0.00,1
L,40,1.80,5.30,8.00,7.99,0.04,0.00,262.25,-68.15,0.05,15.00,0.00,1
L,40,3.90,5.30,8.00,8.00,-0.01,0.00,262.18,166.23,0.05,15.00,0.00,1
L,40,2.00,5.30,8.00,7.97,-0.02,0.00,262.94,128.83,0.05,15.00,0.00,1
L,40,0.70,5.30,8.00,7.66,-0.03,0.00,271.14,146.02,0.05,15.00,0.00,1
L,40,2.10,5.30,8.00,8.00,-0.02,0.00,264.36,101.04,0.05,15.00,0.00,1
L,40,0.70,5.30,8.00,8.03,-0.01,0.00,263.39,102.64,0.05,15.00,0.00,1
L,40,1.10,5.30,8.00,7.83,-0.01,0.00,268.65,107.70,0.05,15.00,0.00,1
L,40,1.00,5.30,8.00,8.05,-0.01,0.00,263.67,105.72,0.05,15.00,0.00,1
L,40,0.80,5.30,8.00,8.03,-0.01,0.00,263.88,115.11,0.05,15.00,0.00,1
L,40,-0.70,5.30,8.00,8.09,-0.01,0.00,262.27,105.27,0.05,15.00,0.00,1
L,40,0.80,5.30,8.00,8.13,-0.00,0.00,260.61,99.00,0.05,15.00,0.00,1
L,40,1.00,5.30,8.00,8.17,-0.01,0.00,258.73,116.13,0.05,15.00,0.00,1
L,40,0.80,5.30,8.00,8.16,-0.02,0.00,258.15,141.58,0.05,15.00,0.00,1
L,40,1.30,5.30,8.00,8.05,-0.02,0.00,260.06,132.37,0.05,15.00,0.00,1
L,40,2.00,5.30,8.00,7.88,-0.01,0.00,264.10,113.36,0.05,15.00,0.00,1
L,40,0.90,5.30,8.00,8.14,-0.01,0.00,258.08,130.64,0.05,15.00,0.00,1
